LUGAR INSPECCION,LATITUD,LONGITUD
CATEMITO,-33.61165621245184,-70.71271214735073
COCA COLA,-33.39332896582539,-70.75768461439554
COLO COLO,-33.36259932502847,-70.76228243865934
CONDELL,-33.40344239784198,-70.73039042319924
DIEGO PORTALES,-33.56008579423492,-70.56473823566505
DTPM,0,0
CONQUISTADOR,-33.52168128494024,-70.80045933520161
RETIRO,-33.41200279348165,-70.77365881808844
ROBLE,-33.44054854451873,-70.78953925588726
SALTO,-33.38714010445642,-70.62195780915832
ENEA,-33.44344036469628,-70.77688883946604
JOSE AGUIRRE,-33.37316362682238,-70.65399431272247
JOSE ARRIETA,-33.46499955956318,-70.53176036068578
JUANITA,-33.63326941402455,-70.60980448688203
ESTRELLA,-33.42759098562177,-70.75054035505606
VARA,-33.567182083343255,-70.70835993026031
PERDICES,-33.51450073268951,-70.54780029297928
TORRES,-33.50439768805252,-70.56419633043564
LIBERTADORES,-33.36305783695899,-70.68191333656283
LO ECHEVERS,-33.373679022444755,-70.7581012925229
LO ESPEJO,-33.532754238076656,-70.70298752170218
MARIA ANGELICA,-33.51777506630475,-70.55643430835258
MUJICA,-33.56333296146372,-70.60456256427153
PIE ANDINO,-33.60331163747023,-70.55426171217337
RECOLETA,-33.377908290498446,-70.63850039955862
RINCONADA DE NOS,-33.623672967859314,-70.69667862934497
SAN ALFONSO,-33.470688995978755,-70.6733552671912
SAN JOSE,-33.59814296069035,-70.69358970345822
SANTA MARGARITA,-33.537065164421165,-70.70127678506728
SANTA MARTA,-33.355139317039765,-70.67704412020139
SANTA ROSA,-33.608054213325346,-70.62834924939575
